carbonIntensity,updatedAt,zone
125,2025-08-31 09:00:00+00:00,DE
340,2025-08-31 09:00:00+00:00,US-MIDA-PJM
369,2025-08-31 09:00:00+00:00,US-NW-PACW
142,2025-08-31 09:00:00+00:00,IE
484,2025-08-31 09:00:00+00:00,SG
73,2025-08-31 09:00:00+00:00,BE
533,2025-08-31 09:00:00+00:00,US-MIDW-MISO
565,2025-08-31 09:00:00+00:00,JP-TK
125,2025-08-31 09:00:00+00:00,DE
340,2025-08-31 09:00:00+00:00,US-MIDA-PJM
369,2025-08-31 09:00:00+00:00,US-NW-PACW
142,2025-08-31 09:00:00+00:00,IE
484,2025-08-31 09:00:00+00:00,SG
73,2025-08-31 09:00:00+00:00,BE
533,2025-08-31 09:00:00+00:00,US-MIDW-MISO
565,2025-08-31 09:00:00+00:00,JP-TK
125,2025-08-31 09:00:00+00:00,DE
340,2025-08-31 09:00:00+00:00,US-MIDA-PJM
369,2025-08-31 09:00:00+00:00,US-NW-PACW
142,2025-08-31 09:00:00+00:00,IE
484,2025-08-31 09:00:00+00:00,SG
73,2025-08-31 09:00:00+00:00,BE
533,2025-08-31 09:00:00+00:00,US-MIDW-MISO
565,2025-08-31 09:00:00+00:00,JP-TK
125,2025-08-31 09:00:00+00:00,DE
340,2025-08-31 09:00:00+00:00,US-MIDA-PJM
369,2025-08-31 09:00:00+00:00,US-NW-PACW
142,2025-08-31 09:00:00+00:00,IE
484,2025-08-31 09:00:00+00:00,SG
73,2025-08-31 09:00:00+00:00,BE
533,2025-08-31 09:00:00+00:00,US-MIDW-MISO
565,2025-08-31 09:00:00+00:00,JP-TK
125,2025-08-31 09:00:00+00:00,DE
340,2025-08-31 09:00:00+00:00,US-MIDA-PJM
369,2025-08-31 09:00:00+00:00,US-NW-PACW
142,2025-08-31 09:00:00+00:00,IE
484,2025-08-31 09:00:00+00:00,SG
73,2025-08-31 09:00:00+00:00,BE
533,2025-08-31 09:00:00+00:00,US-MIDW-MISO
565,2025-08-31 09:00:00+00:00,JP-TK
125,2025-08-31 14:30:00+05:30,DE
340,2025-08-31 14:30:00+05:30,US-MIDA-PJM
369,2025-08-31 14:30:00+05:30,US-NW-PACW
142,2025-08-31 14:30:00+05:30,IE
484,2025-08-31 14:30:00+05:30,SG
73,2025-08-31 14:30:00+05:30,BE
533,2025-08-31 14:30:00+05:30,US-MIDW-MISO
565,2025-08-31 14:30:00+05:30,JP-TK
125,2025-08-31 14:30:00+05:30,DE
340,2025-08-31 14:30:00+05:30,US-MIDA-PJM
369,2025-08-31 14:30:00+05:30,US-NW-PACW
142,2025-08-31 14:30:00+05:30,IE
484,2025-08-31 14:30:00+05:30,SG
73,2025-08-31 14:30:00+05:30,BE
533,2025-08-31 14:30:00+05:30,US-MIDW-MISO
565,2025-08-31 14:30:00+05:30,JP-TK
125,2025-08-31 14:30:00+05:30,DE
340,2025-08-31 14:30:00+05:30,US-MIDA-PJM
369,2025-08-31 14:30:00+05:30,US-NW-PACW
142,2025-08-31 14:30:00+05:30,IE
484,2025-08-31 14:30:00+05:30,SG
73,2025-08-31 14:30:00+05:30,BE
533,2025-08-31 14:30:00+05:30,US-MIDW-MISO
565,2025-08-31 14:30:00+05:30,JP-TK
