carbonIntensity,updatedAt,zone,avg_latency_ms,p95_latency_ms
351,2025-09-14 23:30:00+05:30,DE,2005.56,3373.36
370,2025-09-14 23:30:00+05:30,US-MIDA-PJM,2087.36,3555.79
211,2025-09-14 23:30:00+05:30,US-NW-PACW,2452.44,3827.09
250,2025-09-14 23:30:00+05:30,IE,2478.28,6614.86
497,2025-09-14 23:30:00+05:30,SG,1943.55,2720.07
74,2025-09-14 23:30:00+05:30,BE,1620.78,2467.26
477,2025-09-14 23:30:00+05:30,US-MIDW-MISO,5000.0,5000.0
591,2025-09-14 23:30:00+05:30,JP-TK,1772.75,4806.1
168,2025-09-15 21:30:00+05:30,DE,1342.67,1676.07
388,2025-09-15 21:30:00+05:30,US-MIDA-PJM,1608.28,4131.21
175,2025-09-15 21:30:00+05:30,US-NW-PACW,1535.15,3688.11
191,2025-09-15 21:30:00+05:30,IE,1905.68,3699.83
495,2025-09-15 21:30:00+05:30,SG,1387.54,2180.24
87,2025-09-15 21:30:00+05:30,BE,1662.01,2722.5
462,2025-09-15 21:30:00+05:30,US-MIDW-MISO,5000.0,5000.0
595,2025-09-15 21:30:00+05:30,JP-TK,1156.27,1760.17
168,2025-09-15 21:30:00+05:30,DE,1532.1,1878.24
388,2025-09-15 21:30:00+05:30,US-MIDA-PJM,1721.32,3348.89
175,2025-09-15 21:30:00+05:30,US-NW-PACW,1479.57,3727.38
191,2025-09-15 21:30:00+05:30,IE,1511.92,3944.01
495,2025-09-15 21:30:00+05:30,SG,1155.88,1355.05
87,2025-09-15 21:30:00+05:30,BE,1280.52,2980.86
462,2025-09-15 21:30:00+05:30,US-MIDW-MISO,5000.0,5000.0
595,2025-09-15 21:30:00+05:30,JP-TK,1798.44,4487.73
127,2025-09-16 19:30:00+05:30,DE,1603.7,2425.48
394,2025-09-16 19:30:00+05:30,US-MIDA-PJM,1688.83,3308.75
266,2025-09-16 19:30:00+05:30,US-NW-PACW,1747.02,3619.15
247,2025-09-16 19:30:00+05:30,IE,2285.34,4835.33
495,2025-09-16 19:30:00+05:30,SG,1302.7,1646.42
75,2025-09-16 19:30:00+05:30,BE,1528.88,4139.25
475,2025-09-16 19:30:00+05:30,US-MIDW-MISO,5000.0,5000.0
595,2025-09-16 19:30:00+05:30,JP-TK,1778.15,4204.88
