datetime,zone,carbon,updatedAt,createdAt,emissionFactorType,isEstimated,estimationMethod,hour,dayofweek
2025-09-12 18:00:00+00:00,IE,194,2025-10-12T00:16:01.598Z,2025-09-09T23:54:48.731Z,lifecycle,True,MODE_BREAKDOWN,18,4
2025-09-12 19:00:00+00:00,IE,203,2025-10-01T17:31:04.868Z,2025-09-09T23:55:22.794Z,lifecycle,True,MODE_BREAKDOWN,19,4
2025-09-12 20:00:00+00:00,IE,197,2025-10-01T17:31:04.676Z,2025-09-09T23:55:22.794Z,lifecycle,True,MODE_BREAKDOWN,20,4
2025-09-12 21:00:00+00:00,IE,192,2025-10-01T17:31:04.676Z,2025-09-09T23:55:08.894Z,lifecycle,True,MODE_BREAKDOWN,21,4
2025-09-12 22:00:00+00:00,IE,190,2025-10-12T02:37:24.279Z,2025-09-09T23:55:22.794Z,lifecycle,True,MODE_BREAKDOWN,22,4
2025-09-12 23:00:00+00:00,IE,189,2025-10-01T17:31:04.574Z,2025-09-10T12:11:34.889Z,lifecycle,True,MODE_BREAKDOWN,23,4
2025-09-13 00:00:00+00:00,IE,193,2025-10-01T17:31:04.574Z,2025-09-10T22:40:33.441Z,lifecycle,True,MODE_BREAKDOWN,0,5
2025-09-13 01:00:00+00:00,IE,188,2025-10-01T17:31:04.574Z,2025-09-10T22:40:53.756Z,lifecycle,True,MODE_BREAKDOWN,1,5
2025-09-13 02:00:00+00:00,IE,185,2025-10-01T17:31:04.676Z,2025-09-10T23:42:27.663Z,lifecycle,True,MODE_BREAKDOWN,2,5
2025-09-13 03:00:00+00:00,IE,192,2025-10-01T17:31:04.868Z,2025-09-10T23:42:18.935Z,lifecycle,True,MODE_BREAKDOWN,3,5
2025-09-13 04:00:00+00:00,IE,194,2025-10-01T17:31:04.574Z,2025-09-10T23:42:35.665Z,lifecycle,True,MODE_BREAKDOWN,4,5
2025-09-13 05:00:00+00:00,IE,189,2025-10-01T17:31:04.574Z,2025-09-10T23:42:27.663Z,lifecycle,True,MODE_BREAKDOWN,5,5
2025-09-13 06:00:00+00:00,IE,195,2025-10-01T17:31:04.574Z,2025-09-10T23:42:27.663Z,lifecycle,True,MODE_BREAKDOWN,6,5
2025-09-13 07:00:00+00:00,IE,186,2025-10-01T17:31:04.676Z,2025-09-10T23:42:18.935Z,lifecycle,True,MODE_BREAKDOWN,7,5
2025-09-13 08:00:00+00:00,IE,173,2025-10-01T17:31:04.574Z,2025-09-10T23:42:18.935Z,lifecycle,True,MODE_BREAKDOWN,8,5
2025-09-13 09:00:00+00:00,IE,174,2025-10-01T17:31:04.868Z,2025-09-10T23:42:27.663Z,lifecycle,True,MODE_BREAKDOWN,9,5
2025-09-13 10:00:00+00:00,IE,174,2025-10-01T17:31:04.676Z,2025-09-10T23:42:18.935Z,lifecycle,True,MODE_BREAKDOWN,10,5
2025-09-13 11:00:00+00:00,IE,177,2025-10-01T17:31:19.672Z,2025-09-10T23:42:18.935Z,lifecycle,True,MODE_BREAKDOWN,11,5
2025-09-13 12:00:00+00:00,IE,175,2025-10-01T17:31:04.676Z,2025-09-10T23:42:27.663Z,lifecycle,True,MODE_BREAKDOWN,12,5
2025-09-13 13:00:00+00:00,IE,180,2025-10-01T17:31:04.676Z,2025-09-10T23:42:27.663Z,lifecycle,True,MODE_BREAKDOWN,13,5
2025-09-13 14:00:00+00:00,IE,185,2025-10-01T17:31:19.672Z,2025-09-10T23:42:27.663Z,lifecycle,True,MODE_BREAKDOWN,14,5
2025-09-13 15:00:00+00:00,IE,175,2025-10-01T17:31:04.676Z,2025-09-10T23:42:35.665Z,lifecycle,True,MODE_BREAKDOWN,15,5
2025-09-13 16:00:00+00:00,IE,199,2025-10-01T17:31:04.868Z,2025-09-10T23:42:27.663Z,lifecycle,True,MODE_BREAKDOWN,16,5
