datetime,zone,carbon,updatedAt,createdAt,emissionFactorType,isEstimated,estimationMethod,hour,dayofweek,month,is_weekend,hour_sin,hour_cos
2025-09-27 05:00:00+00:00,IE,256,2025-10-27T03:33:46.927Z,2025-09-24T23:11:51.697Z,lifecycle,True,MODE_BREAKDOWN,5,5,9,1,0.9659258262890683,0.25881904510252074
2025-09-27 06:00:00+00:00,IE,295,2025-10-27T03:34:18.368Z,2025-09-24T23:11:34.518Z,lifecycle,True,MODE_BREAKDOWN,6,5,9,1,1.0,6.123233995736766e-17
2025-09-27 07:00:00+00:00,IE,329,2025-10-27T03:34:02.736Z,2025-09-24T23:11:34.518Z,lifecycle,True,MODE_BREAKDOWN,7,5,9,1,0.9659258262890683,-0.25881904510252063
2025-09-27 08:00:00+00:00,IE,360,2025-10-27T03:34:18.368Z,2025-09-24T23:11:51.697Z,lifecycle,True,MODE_BREAKDOWN,8,5,9,1,0.8660254037844387,-0.4999999999999998
2025-09-27 09:00:00+00:00,IE,372,2025-10-27T03:33:46.927Z,2025-09-24T23:12:06.280Z,lifecycle,True,MODE_BREAKDOWN,9,5,9,1,0.7071067811865476,-0.7071067811865475
2025-09-27 10:00:00+00:00,IE,361,2025-10-27T03:34:02.736Z,2025-09-24T23:11:51.697Z,lifecycle,True,MODE_BREAKDOWN,10,5,9,1,0.49999999999999994,-0.8660254037844387
2025-09-27 11:00:00+00:00,IE,347,2025-10-27T03:34:02.736Z,2025-09-24T23:11:51.697Z,lifecycle,True,MODE_BREAKDOWN,11,5,9,1,0.258819045102521,-0.9659258262890682
2025-09-27 12:00:00+00:00,IE,311,2025-10-27T03:33:52.088Z,2025-09-24T23:11:51.697Z,lifecycle,True,MODE_BREAKDOWN,12,5,9,1,1.2246467991473532e-16,-1.0
2025-09-27 13:00:00+00:00,IE,305,2025-10-27T03:34:18.368Z,2025-09-24T23:11:51.697Z,lifecycle,True,MODE_BREAKDOWN,13,5,9,1,-0.2588190451025208,-0.9659258262890683
2025-09-27 14:00:00+00:00,IE,305,2025-10-27T03:34:18.368Z,2025-09-24T23:11:51.697Z,lifecycle,True,MODE_BREAKDOWN,14,5,9,1,-0.4999999999999997,-0.8660254037844388
2025-09-27 15:00:00+00:00,IE,309,2025-10-27T03:33:52.088Z,2025-09-24T23:12:06.280Z,lifecycle,True,MODE_BREAKDOWN,15,5,9,1,-0.7071067811865471,-0.7071067811865479
2025-09-27 16:00:00+00:00,IE,352,2025-10-27T03:33:52.088Z,2025-09-24T23:11:51.697Z,lifecycle,True,MODE_BREAKDOWN,16,5,9,1,-0.8660254037844385,-0.5000000000000004
2025-09-27 17:00:00+00:00,IE,394,2025-10-27T03:34:08.204Z,2025-09-24T23:11:34.518Z,lifecycle,True,MODE_BREAKDOWN,17,5,9,1,-0.9659258262890683,-0.25881904510252063
2025-09-27 18:00:00+00:00,IE,416,2025-10-27T03:34:18.368Z,2025-09-24T23:11:34.518Z,lifecycle,True,MODE_BREAKDOWN,18,5,9,1,-1.0,-1.8369701987210297e-16
2025-09-27 19:00:00+00:00,IE,411,2025-10-27T03:33:52.088Z,2025-09-24T23:12:06.280Z,lifecycle,True,MODE_BREAKDOWN,19,5,9,1,-0.9659258262890684,0.2588190451025203
2025-09-27 20:00:00+00:00,IE,415,2025-10-27T03:34:08.204Z,2025-09-24T23:12:06.280Z,lifecycle,True,MODE_BREAKDOWN,20,5,9,1,-0.8660254037844386,0.5000000000000001
2025-09-27 21:00:00+00:00,IE,417,2025-10-27T03:34:18.368Z,2025-09-24T23:11:34.518Z,lifecycle,True,MODE_BREAKDOWN,21,5,9,1,-0.7071067811865477,0.7071067811865474
2025-09-27 22:00:00+00:00,IE,429,2025-10-27T03:34:08.204Z,2025-09-24T23:11:34.518Z,lifecycle,True,MODE_BREAKDOWN,22,5,9,1,-0.5000000000000004,0.8660254037844384
2025-09-27 23:00:00+00:00,IE,426,2025-10-27T03:34:08.204Z,2025-09-24T23:12:06.280Z,lifecycle,True,MODE_BREAKDOWN,23,5,9,1,-0.25881904510252157,0.9659258262890681
2025-09-28 00:00:00+00:00,IE,422,2025-10-27T03:34:08.204Z,2025-09-25T22:55:34.135Z,lifecycle,True,MODE_BREAKDOWN,0,6,9,1,0.0,1.0
2025-09-28 01:00:00+00:00,IE,427,2025-10-27T03:33:52.088Z,2025-09-25T22:55:10.920Z,lifecycle,True,MODE_BREAKDOWN,1,6,9,1,0.25881904510252074,0.9659258262890683
2025-09-28 02:00:00+00:00,IE,414,2025-10-27T03:34:08.204Z,2025-09-25T23:40:13.788Z,lifecycle,True,MODE_BREAKDOWN,2,6,9,1,0.49999999999999994,0.8660254037844387
2025-09-28 03:00:00+00:00,IE,419,2025-10-17T00:15:34.358Z,2025-09-25T23:40:29.373Z,lifecycle,True,MODE_BREAKDOWN,3,6,9,1,0.7071067811865476,0.7071067811865476
2025-09-28 04:00:00+00:00,IE,414,2025-10-06T00:36:26.597Z,2025-09-25T23:40:41.100Z,lifecycle,True,MODE_BREAKDOWN,4,6,9,1,0.8660254037844386,0.5000000000000001
2025-09-28 05:00:00+00:00,IE,426,2025-10-06T00:36:22.119Z,2025-09-25T23:40:13.788Z,lifecycle,True,MODE_BREAKDOWN,5,6,9,1,0.9659258262890683,0.25881904510252074
2025-09-28 06:00:00+00:00,IE,429,2025-10-06T00:36:26.597Z,2025-09-25T23:40:13.788Z,lifecycle,True,MODE_BREAKDOWN,6,6,9,1,1.0,6.123233995736766e-17
2025-09-28 07:00:00+00:00,IE,410,2025-10-06T00:36:04.178Z,2025-09-25T23:40:13.788Z,lifecycle,True,MODE_BREAKDOWN,7,6,9,1,0.9659258262890683,-0.25881904510252063
2025-09-28 08:00:00+00:00,IE,396,2025-10-06T00:36:26.597Z,2025-09-25T23:40:41.100Z,lifecycle,True,MODE_BREAKDOWN,8,6,9,1,0.8660254037844387,-0.4999999999999998
2025-09-28 09:00:00+00:00,IE,374,2025-10-06T00:36:22.119Z,2025-09-25T23:40:41.100Z,lifecycle,True,MODE_BREAKDOWN,9,6,9,1,0.7071067811865476,-0.7071067811865475
2025-09-28 10:00:00+00:00,IE,392,2025-10-12T00:18:07.793Z,2025-09-25T23:40:13.788Z,lifecycle,True,MODE_BREAKDOWN,10,6,9,1,0.49999999999999994,-0.8660254037844387
2025-09-28 11:00:00+00:00,IE,413,2025-10-12T00:18:08.937Z,2025-09-25T23:40:13.788Z,lifecycle,True,MODE_BREAKDOWN,11,6,9,1,0.258819045102521,-0.9659258262890682
2025-09-28 12:00:00+00:00,IE,416,2025-10-06T00:36:22.119Z,2025-09-25T23:40:29.373Z,lifecycle,True,MODE_BREAKDOWN,12,6,9,1,1.2246467991473532e-16,-1.0
2025-09-28 13:00:00+00:00,IE,397,2025-10-06T00:36:22.119Z,2025-09-25T23:40:13.788Z,lifecycle,True,MODE_BREAKDOWN,13,6,9,1,-0.2588190451025208,-0.9659258262890683
2025-09-28 14:00:00+00:00,IE,377,2025-10-06T00:36:04.178Z,2025-09-25T23:40:29.373Z,lifecycle,True,MODE_BREAKDOWN,14,6,9,1,-0.4999999999999997,-0.8660254037844388
2025-09-28 15:00:00+00:00,IE,383,2025-10-06T00:36:26.597Z,2025-09-25T23:40:41.100Z,lifecycle,True,MODE_BREAKDOWN,15,6,9,1,-0.7071067811865471,-0.7071067811865479
2025-09-28 16:00:00+00:00,IE,432,2025-10-06T00:36:22.119Z,2025-09-25T23:40:29.373Z,lifecycle,True,MODE_BREAKDOWN,16,6,9,1,-0.8660254037844385,-0.5000000000000004
2025-09-28 17:00:00+00:00,IE,472,2025-10-12T00:18:07.793Z,2025-09-25T23:40:41.100Z,lifecycle,True,MODE_BREAKDOWN,17,6,9,1,-0.9659258262890683,-0.25881904510252063
2025-09-28 18:00:00+00:00,IE,498,2025-10-12T00:18:08.937Z,2025-09-25T23:40:13.788Z,lifecycle,True,MODE_BREAKDOWN,18,6,9,1,-1.0,-1.8369701987210297e-16
2025-09-28 19:00:00+00:00,IE,495,2025-10-12T00:18:07.793Z,2025-09-25T23:40:13.788Z,lifecycle,True,MODE_BREAKDOWN,19,6,9,1,-0.9659258262890684,0.2588190451025203
2025-09-28 20:00:00+00:00,IE,491,2025-10-06T00:36:04.178Z,2025-09-25T23:40:13.788Z,lifecycle,True,MODE_BREAKDOWN,20,6,9,1,-0.8660254037844386,0.5000000000000001
2025-09-28 21:00:00+00:00,IE,486,2025-10-06T00:36:26.597Z,2025-09-25T23:40:41.100Z,lifecycle,True,MODE_BREAKDOWN,21,6,9,1,-0.7071067811865477,0.7071067811865474
2025-09-28 22:00:00+00:00,IE,492,2025-10-06T00:36:22.119Z,2025-09-25T23:40:41.100Z,lifecycle,True,MODE_BREAKDOWN,22,6,9,1,-0.5000000000000004,0.8660254037844384
2025-09-28 23:00:00+00:00,IE,499,2025-10-08T00:43:45.214Z,2025-09-25T23:40:13.788Z,lifecycle,True,MODE_BREAKDOWN,23,6,9,1,-0.25881904510252157,0.9659258262890681
2025-09-29 00:00:00+00:00,IE,481,2025-10-17T00:15:33.441Z,2025-09-26T21:25:54.779Z,lifecycle,True,MODE_BREAKDOWN,0,0,9,0,0.0,1.0
2025-09-29 01:00:00+00:00,IE,460,2025-10-08T00:43:45.214Z,2025-09-26T21:25:35.413Z,lifecycle,True,MODE_BREAKDOWN,1,0,9,0,0.25881904510252074,0.9659258262890683
