datetime,zone,carbon,updatedAt,createdAt,emissionFactorType,isEstimated,estimationMethod,hour,dayofweek
2025-09-12 18:00:00+00:00,JP-TK,589,2025-10-01T17:31:04.676Z,2025-09-12T01:40:18.019Z,lifecycle,True,MODE_BREAKDOWN,18,4
2025-09-12 19:00:00+00:00,JP-TK,589,2025-10-01T17:31:04.676Z,2025-09-12T01:40:18.019Z,lifecycle,True,MODE_BREAKDOWN,19,4
2025-09-12 20:00:00+00:00,JP-TK,587,2025-10-01T17:31:04.574Z,2025-09-12T01:40:18.019Z,lifecycle,True,MODE_BREAKDOWN,20,4
2025-09-12 21:00:00+00:00,JP-TK,573,2025-10-01T17:31:04.676Z,2025-09-12T01:40:32.679Z,lifecycle,True,MODE_BREAKDOWN,21,4
2025-09-12 22:00:00+00:00,JP-TK,550,2025-10-01T17:31:04.574Z,2025-09-12T01:40:42.149Z,lifecycle,True,MODE_BREAKDOWN,22,4
2025-09-12 23:00:00+00:00,JP-TK,536,2025-10-01T17:31:04.868Z,2025-09-12T01:40:42.149Z,lifecycle,True,MODE_BREAKDOWN,23,4
2025-09-13 00:00:00+00:00,JP-TK,522,2025-10-01T17:31:04.868Z,2025-09-12T01:40:42.149Z,lifecycle,True,MODE_BREAKDOWN,0,5
2025-09-13 01:00:00+00:00,JP-TK,504,2025-10-01T17:31:04.868Z,2025-09-12T01:40:32.679Z,lifecycle,True,MODE_BREAKDOWN,1,5
2025-09-13 02:00:00+00:00,JP-TK,507,2025-10-01T17:31:04.574Z,2025-09-12T01:40:32.679Z,lifecycle,True,MODE_BREAKDOWN,2,5
2025-09-13 03:00:00+00:00,JP-TK,506,2025-10-01T17:31:04.574Z,2025-09-12T01:40:18.019Z,lifecycle,True,MODE_BREAKDOWN,3,5
2025-09-13 04:00:00+00:00,JP-TK,520,2025-10-01T17:31:04.868Z,2025-09-12T01:40:32.679Z,lifecycle,True,MODE_BREAKDOWN,4,5
2025-09-13 05:00:00+00:00,JP-TK,535,2025-10-01T17:31:04.676Z,2025-09-12T01:40:42.149Z,lifecycle,True,MODE_BREAKDOWN,5,5
2025-09-13 06:00:00+00:00,JP-TK,550,2025-10-01T17:31:04.574Z,2025-09-12T01:40:42.149Z,lifecycle,True,MODE_BREAKDOWN,6,5
2025-09-13 07:00:00+00:00,JP-TK,571,2025-10-01T17:31:04.676Z,2025-09-12T01:40:32.679Z,lifecycle,True,MODE_BREAKDOWN,7,5
2025-09-13 08:00:00+00:00,JP-TK,588,2025-10-01T17:31:04.868Z,2025-09-12T01:40:18.019Z,lifecycle,True,MODE_BREAKDOWN,8,5
2025-09-13 09:00:00+00:00,JP-TK,591,2025-10-01T17:31:19.672Z,2025-09-12T01:40:18.019Z,lifecycle,True,MODE_BREAKDOWN,9,5
2025-09-13 10:00:00+00:00,JP-TK,590,2025-10-01T17:31:04.676Z,2025-09-12T01:40:45.282Z,lifecycle,True,MODE_BREAKDOWN,10,5
2025-09-13 11:00:00+00:00,JP-TK,589,2025-10-01T17:31:19.672Z,2025-09-12T01:40:32.679Z,lifecycle,True,MODE_BREAKDOWN,11,5
2025-09-13 12:00:00+00:00,JP-TK,588,2025-10-01T17:31:04.676Z,2025-09-12T01:40:32.679Z,lifecycle,True,MODE_BREAKDOWN,12,5
2025-09-13 13:00:00+00:00,JP-TK,587,2025-10-01T17:31:04.676Z,2025-09-12T01:40:45.282Z,lifecycle,True,MODE_BREAKDOWN,13,5
2025-09-13 14:00:00+00:00,JP-TK,585,2025-10-01T17:31:19.672Z,2025-09-12T01:40:32.679Z,lifecycle,True,MODE_BREAKDOWN,14,5
2025-09-13 15:00:00+00:00,JP-TK,582,2025-10-01T17:31:04.676Z,2025-09-12T01:40:18.019Z,lifecycle,True,MODE_BREAKDOWN,15,5
2025-09-13 16:00:00+00:00,JP-TK,581,2025-10-01T17:31:04.676Z,2025-09-12T01:40:45.282Z,lifecycle,True,MODE_BREAKDOWN,16,5
2025-09-13 17:00:00+00:00,JP-TK,580,2025-10-01T17:31:04.868Z,2025-09-13T01:56:13.723Z,lifecycle,True,MODE_BREAKDOWN,17,5
2025-09-13 18:00:00+00:00,JP-TK,581,2025-10-01T17:31:04.676Z,2025-09-13T01:55:58.449Z,lifecycle,True,MODE_BREAKDOWN,18,5
2025-09-13 19:00:00+00:00,JP-TK,582,2025-10-01T17:31:19.672Z,2025-09-13T01:56:26.439Z,lifecycle,True,MODE_BREAKDOWN,19,5
2025-09-13 20:00:00+00:00,JP-TK,583,2025-10-01T17:31:04.868Z,2025-09-13T01:55:58.449Z,lifecycle,True,MODE_BREAKDOWN,20,5
2025-09-13 21:00:00+00:00,JP-TK,569,2025-10-01T17:31:04.868Z,2025-09-13T01:56:26.439Z,lifecycle,True,MODE_BREAKDOWN,21,5
2025-09-13 22:00:00+00:00,JP-TK,538,2025-10-01T17:31:20.172Z,2025-09-13T01:56:26.439Z,lifecycle,True,MODE_BREAKDOWN,22,5
2025-09-13 23:00:00+00:00,JP-TK,502,2025-10-01T17:31:19.672Z,2025-09-13T01:56:26.439Z,lifecycle,True,MODE_BREAKDOWN,23,5
2025-09-14 00:00:00+00:00,JP-TK,447,2025-10-01T17:31:20.172Z,2025-09-13T01:56:26.439Z,lifecycle,True,MODE_BREAKDOWN,0,6
2025-09-14 01:00:00+00:00,JP-TK,413,2025-10-01T17:31:20.172Z,2025-09-13T01:56:13.723Z,lifecycle,True,MODE_BREAKDOWN,1,6
2025-09-14 02:00:00+00:00,JP-TK,412,2025-10-01T17:31:19.672Z,2025-09-13T01:55:58.449Z,lifecycle,True,MODE_BREAKDOWN,2,6
2025-09-14 03:00:00+00:00,JP-TK,441,2025-10-01T17:31:20.148Z,2025-09-13T01:55:58.449Z,lifecycle,True,MODE_BREAKDOWN,3,6
2025-09-14 04:00:00+00:00,JP-TK,474,2025-10-01T17:31:20.148Z,2025-09-13T01:56:26.439Z,lifecycle,True,MODE_BREAKDOWN,4,6
2025-09-14 05:00:00+00:00,JP-TK,503,2025-10-01T17:31:20.172Z,2025-09-13T01:56:26.439Z,lifecycle,True,MODE_BREAKDOWN,5,6
2025-09-14 06:00:00+00:00,JP-TK,529,2025-10-01T17:31:19.672Z,2025-09-13T01:56:26.439Z,lifecycle,True,MODE_BREAKDOWN,6,6
2025-09-14 07:00:00+00:00,JP-TK,563,2025-10-01T17:31:20.148Z,2025-09-13T01:56:30.308Z,lifecycle,True,MODE_BREAKDOWN,7,6
2025-09-14 08:00:00+00:00,JP-TK,591,2025-10-01T17:31:20.172Z,2025-09-13T01:55:58.449Z,lifecycle,True,MODE_BREAKDOWN,8,6
2025-09-14 09:00:00+00:00,JP-TK,597,2025-10-01T17:31:20.148Z,2025-09-13T01:56:13.723Z,lifecycle,True,MODE_BREAKDOWN,9,6
2025-09-14 10:00:00+00:00,JP-TK,597,2025-10-01T17:31:20.172Z,2025-09-13T01:56:13.723Z,lifecycle,True,MODE_BREAKDOWN,10,6
2025-09-14 11:00:00+00:00,JP-TK,596,2025-10-01T17:31:19.672Z,2025-09-13T01:55:58.449Z,lifecycle,True,MODE_BREAKDOWN,11,6
2025-09-14 12:00:00+00:00,JP-TK,595,2025-10-01T17:31:20.148Z,2025-09-13T01:55:58.449Z,lifecycle,True,MODE_BREAKDOWN,12,6
2025-09-14 13:00:00+00:00,JP-TK,595,2025-10-01T17:31:20.148Z,2025-09-13T01:56:13.723Z,lifecycle,True,MODE_BREAKDOWN,13,6
2025-09-14 14:00:00+00:00,JP-TK,595,2025-10-01T17:31:20.172Z,2025-09-13T01:56:13.723Z,lifecycle,True,MODE_BREAKDOWN,14,6
2025-09-14 15:00:00+00:00,JP-TK,592,2025-10-01T17:31:20.148Z,2025-09-13T01:56:13.723Z,lifecycle,True,MODE_BREAKDOWN,15,6
2025-09-14 16:00:00+00:00,JP-TK,591,2025-10-01T17:31:19.672Z,2025-09-13T01:56:30.308Z,lifecycle,True,MODE_BREAKDOWN,16,6
2025-09-14 17:00:00+00:00,JP-TK,591,2025-10-01T17:31:20.148Z,2025-09-14T01:55:33.499Z,lifecycle,True,MODE_BREAKDOWN,17,6
2025-09-14 18:00:00+00:00,JP-TK,591,2025-10-01T17:31:19.672Z,2025-09-14T01:55:33.499Z,lifecycle,True,MODE_BREAKDOWN,18,6
2025-09-14 19:00:00+00:00,JP-TK,590,2025-10-01T17:31:20.172Z,2025-09-14T01:55:17.507Z,lifecycle,True,MODE_BREAKDOWN,19,6
2025-09-14 20:00:00+00:00,JP-TK,590,2025-10-01T17:31:20.172Z,2025-09-14T01:55:44.146Z,lifecycle,True,MODE_BREAKDOWN,20,6
2025-09-14 21:00:00+00:00,JP-TK,569,2025-10-01T17:31:20.172Z,2025-09-14T01:55:33.499Z,lifecycle,True,MODE_BREAKDOWN,21,6
2025-09-14 22:00:00+00:00,JP-TK,525,2025-10-01T17:31:20.172Z,2025-09-14T01:55:17.507Z,lifecycle,True,MODE_BREAKDOWN,22,6
2025-09-14 23:00:00+00:00,JP-TK,488,2025-10-01T17:31:20.172Z,2025-09-14T01:55:33.499Z,lifecycle,True,MODE_BREAKDOWN,23,6
2025-09-15 00:00:00+00:00,JP-TK,464,2025-10-01T17:31:20.172Z,2025-09-14T01:55:17.507Z,lifecycle,True,MODE_BREAKDOWN,0,0
2025-09-15 01:00:00+00:00,JP-TK,436,2025-10-01T17:31:20.172Z,2025-09-14T01:55:33.499Z,lifecycle,True,MODE_BREAKDOWN,1,0
