datetime,zone,carbon,updatedAt,createdAt,emissionFactorType,isEstimated,estimationMethod,hour,dayofweek,month,is_weekend,hour_sin,hour_cos
2025-09-27 05:00:00+00:00,SG,442,2025-10-01T17:32:57.200Z,2025-09-26T17:26:07.960Z,lifecycle,False,,5,5,9,1,0.9659258262890683,0.25881904510252074
2025-09-27 06:00:00+00:00,SG,465,2025-10-01T17:32:57.214Z,2025-09-26T17:26:25.288Z,lifecycle,False,,6,5,9,1,1.0,6.123233995736766e-17
2025-09-27 07:00:00+00:00,SG,458,2025-10-23T00:15:57.493Z,2025-09-26T17:26:25.288Z,lifecycle,False,,7,5,9,1,0.9659258262890683,-0.25881904510252063
2025-09-27 08:00:00+00:00,SG,470,2025-10-01T17:32:57.288Z,2025-09-26T17:25:57.358Z,lifecycle,False,,8,5,9,1,0.8660254037844387,-0.4999999999999998
2025-09-27 09:00:00+00:00,SG,493,2025-10-01T17:33:10.965Z,2025-09-26T17:25:57.358Z,lifecycle,False,,9,5,9,1,0.7071067811865476,-0.7071067811865475
2025-09-27 10:00:00+00:00,SG,493,2025-10-23T00:15:57.493Z,2025-09-26T17:25:57.358Z,lifecycle,False,,10,5,9,1,0.49999999999999994,-0.8660254037844387
2025-09-27 11:00:00+00:00,SG,494,2025-10-01T17:33:10.965Z,2025-09-26T17:26:25.288Z,lifecycle,False,,11,5,9,1,0.258819045102521,-0.9659258262890682
2025-09-27 12:00:00+00:00,SG,494,2025-10-23T00:15:57.493Z,2025-09-26T17:26:25.288Z,lifecycle,False,,12,5,9,1,1.2246467991473532e-16,-1.0
2025-09-27 13:00:00+00:00,SG,495,2025-10-01T17:33:10.965Z,2025-09-26T17:26:25.288Z,lifecycle,False,,13,5,9,1,-0.2588190451025208,-0.9659258262890683
2025-09-27 14:00:00+00:00,SG,495,2025-10-01T17:33:10.965Z,2025-09-26T17:26:13.764Z,lifecycle,False,,14,5,9,1,-0.4999999999999997,-0.8660254037844388
2025-09-27 15:00:00+00:00,SG,495,2025-10-23T00:16:12.517Z,2025-09-26T17:25:57.358Z,lifecycle,False,,15,5,9,1,-0.7071067811865471,-0.7071067811865479
2025-09-27 16:00:00+00:00,SG,494,2025-10-01T17:32:57.288Z,2025-09-26T17:25:57.358Z,lifecycle,False,,16,5,9,1,-0.8660254037844385,-0.5000000000000004
2025-09-27 17:00:00+00:00,SG,494,2025-10-01T17:33:11.047Z,2025-09-26T17:26:13.764Z,lifecycle,False,,17,5,9,1,-0.9659258262890683,-0.25881904510252063
2025-09-27 18:00:00+00:00,SG,494,2025-10-01T17:33:10.965Z,2025-09-26T17:26:13.764Z,lifecycle,False,,18,5,9,1,-1.0,-1.8369701987210297e-16
2025-09-27 19:00:00+00:00,SG,494,2025-10-23T00:16:12.517Z,2025-09-26T17:26:25.288Z,lifecycle,False,,19,5,9,1,-0.9659258262890684,0.2588190451025203
2025-09-27 20:00:00+00:00,SG,494,2025-10-01T17:33:10.994Z,2025-09-27T12:25:17.917Z,lifecycle,False,,20,5,9,1,-0.8660254037844386,0.5000000000000001
2025-09-27 21:00:00+00:00,SG,494,2025-10-01T17:33:10.994Z,2025-09-27T12:25:31.567Z,lifecycle,False,,21,5,9,1,-0.7071067811865477,0.7071067811865474
2025-09-27 22:00:00+00:00,SG,495,2025-10-23T00:15:50.728Z,2025-09-27T12:25:04.986Z,lifecycle,False,,22,5,9,1,-0.5000000000000004,0.8660254037844384
2025-09-27 23:00:00+00:00,SG,493,2025-10-01T17:33:10.965Z,2025-09-27T15:25:42.545Z,lifecycle,False,,23,5,9,1,-0.25881904510252157,0.9659258262890681
2025-09-28 00:00:00+00:00,SG,485,2025-10-01T17:33:11.047Z,2025-09-27T16:25:23.332Z,lifecycle,False,,0,6,9,1,0.0,1.0
2025-09-28 01:00:00+00:00,SG,478,2025-10-01T17:33:10.994Z,2025-09-27T17:25:01.864Z,lifecycle,False,,1,6,9,1,0.25881904510252074,0.9659258262890683
2025-09-28 02:00:00+00:00,SG,482,2025-10-23T00:15:50.728Z,2025-09-27T17:24:44.166Z,lifecycle,False,,2,6,9,1,0.49999999999999994,0.8660254037844387
2025-09-28 03:00:00+00:00,SG,477,2025-10-01T17:33:10.965Z,2025-09-27T17:25:01.864Z,lifecycle,False,,3,6,9,1,0.7071067811865476,0.7071067811865476
2025-09-28 04:00:00+00:00,SG,463,2025-10-01T17:33:10.965Z,2025-09-27T17:25:15.358Z,lifecycle,False,,4,6,9,1,0.8660254037844386,0.5000000000000001
2025-09-28 05:00:00+00:00,SG,448,2025-10-01T17:33:10.965Z,2025-09-27T17:24:44.166Z,lifecycle,False,,5,6,9,1,0.9659258262890683,0.25881904510252074
2025-09-28 06:00:00+00:00,SG,450,2025-10-05T00:41:19.012Z,2025-09-27T17:25:01.864Z,lifecycle,False,,6,6,9,1,1.0,6.123233995736766e-17
2025-09-28 07:00:00+00:00,SG,450,2025-10-23T00:15:50.472Z,2025-09-27T17:25:01.864Z,lifecycle,False,,7,6,9,1,0.9659258262890683,-0.25881904510252063
