datetime,zone,carbon,updatedAt,createdAt,emissionFactorType,isEstimated,estimationMethod,hour,dayofweek
2025-09-12 18:00:00+00:00,US-MIDA-PJM,375,2025-10-12T02:36:58.059Z,2025-09-09T18:22:32.572Z,lifecycle,False,,18,4
2025-09-12 19:00:00+00:00,US-MIDA-PJM,376,2025-10-12T02:37:24.279Z,2025-09-09T19:24:02.491Z,lifecycle,False,,19,4
2025-09-12 20:00:00+00:00,US-MIDA-PJM,377,2025-10-12T02:37:17.287Z,2025-09-09T20:23:59.030Z,lifecycle,False,,20,4
2025-09-12 21:00:00+00:00,US-MIDA-PJM,382,2025-10-12T02:36:58.059Z,2025-09-09T21:24:00.822Z,lifecycle,False,,21,4
2025-09-12 22:00:00+00:00,US-MIDA-PJM,398,2025-10-12T02:36:58.059Z,2025-09-09T22:25:07.817Z,lifecycle,False,,22,4
2025-09-12 23:00:00+00:00,US-MIDA-PJM,404,2025-10-12T02:37:17.287Z,2025-09-09T23:22:36.453Z,lifecycle,True,TIME_SLICER_AVERAGE,23,4
2025-09-13 00:00:00+00:00,US-MIDA-PJM,411,2025-10-12T02:37:17.287Z,2025-09-10T00:23:38.950Z,lifecycle,False,,0,5
2025-09-13 01:00:00+00:00,US-MIDA-PJM,407,2025-10-12T02:37:17.287Z,2025-09-10T01:24:24.451Z,lifecycle,False,,1,5
2025-09-13 02:00:00+00:00,US-MIDA-PJM,391,2025-10-01T17:31:04.574Z,2025-09-10T02:24:59.231Z,lifecycle,False,,2,5
2025-09-13 03:00:00+00:00,US-MIDA-PJM,386,2025-10-01T17:31:04.868Z,2025-09-10T03:24:20.298Z,lifecycle,False,,3,5
2025-09-13 04:00:00+00:00,US-MIDA-PJM,379,2025-10-01T17:31:04.676Z,2025-09-10T04:23:13.856Z,lifecycle,False,,4,5
2025-09-13 05:00:00+00:00,US-MIDA-PJM,367,2025-10-01T17:31:04.868Z,2025-09-10T05:23:40.217Z,lifecycle,False,,5,5
2025-09-13 06:00:00+00:00,US-MIDA-PJM,362,2025-10-01T17:31:04.868Z,2025-09-10T06:23:47.396Z,lifecycle,False,,6,5
2025-09-13 07:00:00+00:00,US-MIDA-PJM,356,2025-10-01T17:31:04.868Z,2025-09-10T07:24:11.197Z,lifecycle,False,,7,5
2025-09-13 08:00:00+00:00,US-MIDA-PJM,355,2025-10-01T17:31:04.868Z,2025-09-10T08:13:30.934Z,lifecycle,False,,8,5
2025-09-13 09:00:00+00:00,US-MIDA-PJM,358,2025-10-01T17:31:19.672Z,2025-09-10T09:14:34.952Z,lifecycle,False,,9,5
2025-09-13 10:00:00+00:00,US-MIDA-PJM,363,2025-10-01T17:31:04.868Z,2025-09-10T10:14:39.629Z,lifecycle,False,,10,5
2025-09-13 11:00:00+00:00,US-MIDA-PJM,362,2025-10-01T17:31:04.676Z,2025-09-10T11:14:46.305Z,lifecycle,False,,11,5
2025-09-13 12:00:00+00:00,US-MIDA-PJM,346,2025-10-01T17:31:04.868Z,2025-09-10T12:11:19.970Z,lifecycle,False,,12,5
2025-09-13 13:00:00+00:00,US-MIDA-PJM,339,2025-10-01T17:31:04.676Z,2025-09-10T13:13:12.904Z,lifecycle,False,,13,5
2025-09-13 14:00:00+00:00,US-MIDA-PJM,344,2025-10-01T17:31:19.672Z,2025-09-10T14:10:57.523Z,lifecycle,False,,14,5
2025-09-13 15:00:00+00:00,US-MIDA-PJM,348,2025-10-01T17:31:04.868Z,2025-09-10T15:11:35.522Z,lifecycle,False,,15,5
2025-09-13 16:00:00+00:00,US-MIDA-PJM,355,2025-10-01T17:31:19.672Z,2025-09-10T16:11:19.349Z,lifecycle,False,,16,5
2025-09-13 17:00:00+00:00,US-MIDA-PJM,363,2025-10-01T17:31:04.868Z,2025-09-10T17:11:29.999Z,lifecycle,False,,17,5
2025-09-13 18:00:00+00:00,US-MIDA-PJM,377,2025-10-01T17:31:19.672Z,2025-09-10T18:10:44.580Z,lifecycle,False,,18,5
2025-09-13 19:00:00+00:00,US-MIDA-PJM,383,2025-10-01T17:31:19.672Z,2025-09-10T19:11:38.412Z,lifecycle,False,,19,5
2025-09-13 20:00:00+00:00,US-MIDA-PJM,385,2025-10-01T17:31:04.868Z,2025-09-10T20:11:01.154Z,lifecycle,False,,20,5
2025-09-13 21:00:00+00:00,US-MIDA-PJM,391,2025-10-01T17:31:19.672Z,2025-09-10T21:10:47.149Z,lifecycle,False,,21,5
2025-09-13 22:00:00+00:00,US-MIDA-PJM,407,2025-10-01T17:31:19.672Z,2025-09-10T22:11:24.470Z,lifecycle,False,,22,5
2025-09-13 23:00:00+00:00,US-MIDA-PJM,410,2025-10-01T17:31:19.672Z,2025-09-10T23:11:01.169Z,lifecycle,True,TIME_SLICER_AVERAGE,23,5
2025-09-14 00:00:00+00:00,US-MIDA-PJM,413,2025-10-01T17:31:20.148Z,2025-09-11T00:10:43.458Z,lifecycle,False,,0,6
2025-09-14 01:00:00+00:00,US-MIDA-PJM,413,2025-10-01T17:31:20.172Z,2025-09-11T01:10:35.720Z,lifecycle,False,,1,6
2025-09-14 02:00:00+00:00,US-MIDA-PJM,415,2025-10-01T17:31:19.672Z,2025-09-11T02:10:44.217Z,lifecycle,False,,2,6
2025-09-14 03:00:00+00:00,US-MIDA-PJM,406,2025-10-01T17:31:20.172Z,2025-09-11T03:10:48.751Z,lifecycle,False,,3,6
2025-09-14 04:00:00+00:00,US-MIDA-PJM,392,2025-10-01T17:31:20.172Z,2025-09-11T04:11:17.658Z,lifecycle,False,,4,6
2025-09-14 05:00:00+00:00,US-MIDA-PJM,385,2025-10-01T17:31:20.148Z,2025-09-11T05:11:35.468Z,lifecycle,False,,5,6
2025-09-14 06:00:00+00:00,US-MIDA-PJM,378,2025-10-01T17:31:20.172Z,2025-09-11T06:10:54.898Z,lifecycle,False,,6,6
2025-09-14 07:00:00+00:00,US-MIDA-PJM,374,2025-10-01T17:31:20.148Z,2025-09-11T07:10:46.836Z,lifecycle,False,,7,6
2025-09-14 08:00:00+00:00,US-MIDA-PJM,372,2025-10-01T17:31:20.172Z,2025-09-11T08:10:52.059Z,lifecycle,False,,8,6
2025-09-14 09:00:00+00:00,US-MIDA-PJM,374,2025-10-01T17:31:20.172Z,2025-09-11T09:11:13.821Z,lifecycle,False,,9,6
2025-09-14 10:00:00+00:00,US-MIDA-PJM,377,2025-10-01T17:31:20.148Z,2025-09-11T10:11:24.160Z,lifecycle,False,,10,6
2025-09-14 11:00:00+00:00,US-MIDA-PJM,378,2025-10-01T17:31:20.172Z,2025-09-11T11:10:44.084Z,lifecycle,False,,11,6
2025-09-14 12:00:00+00:00,US-MIDA-PJM,365,2025-10-01T17:31:19.672Z,2025-09-11T12:11:12.602Z,lifecycle,False,,12,6
2025-09-14 13:00:00+00:00,US-MIDA-PJM,351,2025-10-01T17:31:20.148Z,2025-09-11T13:12:06.480Z,lifecycle,False,,13,6
2025-09-14 14:00:00+00:00,US-MIDA-PJM,352,2025-10-01T17:31:19.672Z,2025-09-11T14:12:23.370Z,lifecycle,False,,14,6
2025-09-14 15:00:00+00:00,US-MIDA-PJM,355,2025-10-01T17:31:20.148Z,2025-09-11T15:09:48.844Z,lifecycle,False,,15,6
2025-09-14 16:00:00+00:00,US-MIDA-PJM,365,2025-10-01T17:31:19.672Z,2025-09-11T16:11:08.759Z,lifecycle,False,,16,6
2025-09-14 17:00:00+00:00,US-MIDA-PJM,381,2025-10-01T17:31:19.672Z,2025-09-11T17:11:49.794Z,lifecycle,False,,17,6
2025-09-14 18:00:00+00:00,US-MIDA-PJM,394,2025-10-01T17:31:20.148Z,2025-09-11T18:10:02.271Z,lifecycle,False,,18,6
2025-09-14 19:00:00+00:00,US-MIDA-PJM,404,2025-10-01T17:31:19.672Z,2025-09-11T19:11:05.253Z,lifecycle,False,,19,6
2025-09-14 20:00:00+00:00,US-MIDA-PJM,403,2025-10-01T17:31:20.172Z,2025-09-11T20:13:29.014Z,lifecycle,False,,20,6
2025-09-14 21:00:00+00:00,US-MIDA-PJM,407,2025-10-01T17:31:19.672Z,2025-09-11T21:11:56.428Z,lifecycle,False,,21,6
2025-09-14 22:00:00+00:00,US-MIDA-PJM,419,2025-10-01T17:31:19.672Z,2025-09-11T22:11:01.518Z,lifecycle,False,,22,6
2025-09-14 23:00:00+00:00,US-MIDA-PJM,423,2025-10-01T17:31:20.148Z,2025-09-11T23:10:38.271Z,lifecycle,True,TIME_SLICER_AVERAGE,23,6
2025-09-15 00:00:00+00:00,US-MIDA-PJM,428,2025-10-01T17:31:20.172Z,2025-09-12T00:11:01.926Z,lifecycle,False,,0,0
2025-09-15 01:00:00+00:00,US-MIDA-PJM,419,2025-10-01T17:31:20.148Z,2025-09-12T01:10:52.683Z,lifecycle,False,,1,0
2025-09-15 02:00:00+00:00,US-MIDA-PJM,411,2025-10-01T17:31:34.277Z,2025-09-12T02:10:19.055Z,lifecycle,False,,2,0
2025-09-15 03:00:00+00:00,US-MIDA-PJM,395,2025-10-01T17:31:20.148Z,2025-09-12T03:10:47.183Z,lifecycle,False,,3,0
2025-09-15 04:00:00+00:00,US-MIDA-PJM,380,2025-10-01T17:31:20.148Z,2025-09-12T04:10:39.050Z,lifecycle,False,,4,0
2025-09-15 05:00:00+00:00,US-MIDA-PJM,367,2025-10-01T17:31:20.148Z,2025-09-12T05:11:37.141Z,lifecycle,False,,5,0
2025-09-15 06:00:00+00:00,US-MIDA-PJM,364,2025-10-01T17:31:34.277Z,2025-09-12T06:11:05.926Z,lifecycle,False,,6,0
2025-09-15 07:00:00+00:00,US-MIDA-PJM,365,2025-10-01T17:31:34.277Z,2025-09-12T07:10:43.929Z,lifecycle,False,,7,0
2025-09-15 08:00:00+00:00,US-MIDA-PJM,368,2025-10-01T17:31:20.172Z,2025-09-12T08:11:10.975Z,lifecycle,False,,8,0
2025-09-15 09:00:00+00:00,US-MIDA-PJM,376,2025-10-01T17:31:20.172Z,2025-09-12T09:11:01.293Z,lifecycle,False,,9,0
2025-09-15 10:00:00+00:00,US-MIDA-PJM,389,2025-10-01T17:31:20.172Z,2025-09-12T10:12:48.182Z,lifecycle,False,,10,0
2025-09-15 11:00:00+00:00,US-MIDA-PJM,402,2025-10-01T17:31:34.277Z,2025-09-12T11:10:57.996Z,lifecycle,False,,11,0
2025-09-15 12:00:00+00:00,US-MIDA-PJM,393,2025-10-01T17:31:34.299Z,2025-09-12T12:11:30.081Z,lifecycle,False,,12,0
2025-09-15 13:00:00+00:00,US-MIDA-PJM,384,2025-10-01T17:31:20.148Z,2025-09-12T13:11:00.393Z,lifecycle,False,,13,0
2025-09-15 14:00:00+00:00,US-MIDA-PJM,388,2025-10-01T17:31:34.299Z,2025-09-12T14:19:50.085Z,lifecycle,False,,14,0
2025-09-15 15:00:00+00:00,US-MIDA-PJM,395,2025-10-01T17:31:20.148Z,2025-09-12T15:12:37.225Z,lifecycle,False,,15,0
2025-09-15 16:00:00+00:00,US-MIDA-PJM,402,2025-10-01T17:31:34.299Z,2025-09-12T16:11:31.733Z,lifecycle,False,,16,0
2025-09-15 17:00:00+00:00,US-MIDA-PJM,404,2025-10-01T17:31:34.277Z,2025-09-12T17:11:43.486Z,lifecycle,False,,17,0
2025-09-15 18:00:00+00:00,US-MIDA-PJM,410,2025-10-01T17:31:34.277Z,2025-09-12T18:10:44.375Z,lifecycle,False,,18,0
2025-09-15 19:00:00+00:00,US-MIDA-PJM,415,2025-10-01T17:31:34.277Z,2025-09-12T19:10:09.901Z,lifecycle,False,,19,0
2025-09-15 20:00:00+00:00,US-MIDA-PJM,417,2025-10-01T17:31:34.277Z,2025-09-12T20:13:00.336Z,lifecycle,False,,20,0
2025-09-15 21:00:00+00:00,US-MIDA-PJM,422,2025-10-01T17:31:34.450Z,2025-09-12T21:10:40.224Z,lifecycle,False,,21,0
2025-09-15 22:00:00+00:00,US-MIDA-PJM,431,2025-10-01T17:31:34.450Z,2025-09-12T22:10:42.000Z,lifecycle,False,,22,0
2025-09-15 23:00:00+00:00,US-MIDA-PJM,436,2025-10-01T17:31:34.277Z,2025-09-12T23:11:26.811Z,lifecycle,True,TIME_SLICER_AVERAGE,23,0
2025-09-16 00:00:00+00:00,US-MIDA-PJM,441,2025-10-01T17:31:34.299Z,2025-09-13T00:10:59.330Z,lifecycle,False,,0,1
2025-09-16 01:00:00+00:00,US-MIDA-PJM,435,2025-10-01T17:31:34.299Z,2025-09-13T01:10:54.438Z,lifecycle,False,,1,1
2025-09-16 02:00:00+00:00,US-MIDA-PJM,423,2025-10-01T17:31:34.450Z,2025-09-13T02:12:37.805Z,lifecycle,False,,2,1
2025-09-16 03:00:00+00:00,US-MIDA-PJM,417,2025-10-01T17:31:34.299Z,2025-09-13T03:10:57.366Z,lifecycle,False,,3,1
2025-09-16 04:00:00+00:00,US-MIDA-PJM,402,2025-10-01T17:31:34.450Z,2025-09-13T04:10:42.929Z,lifecycle,False,,4,1
2025-09-16 05:00:00+00:00,US-MIDA-PJM,389,2025-10-01T17:31:34.299Z,2025-09-13T05:11:21.240Z,lifecycle,False,,5,1
2025-09-16 06:00:00+00:00,US-MIDA-PJM,383,2025-10-01T17:31:34.299Z,2025-09-13T06:10:40.438Z,lifecycle,False,,6,1
2025-09-16 07:00:00+00:00,US-MIDA-PJM,378,2025-10-01T17:31:34.450Z,2025-09-13T07:11:17.570Z,lifecycle,False,,7,1
2025-09-16 08:00:00+00:00,US-MIDA-PJM,379,2025-10-01T17:31:34.299Z,2025-09-13T08:10:49.642Z,lifecycle,False,,8,1
2025-09-16 09:00:00+00:00,US-MIDA-PJM,382,2025-10-01T17:31:34.277Z,2025-09-13T09:10:53.075Z,lifecycle,False,,9,1
2025-09-16 10:00:00+00:00,US-MIDA-PJM,398,2025-10-01T17:31:34.299Z,2025-09-13T10:10:58.757Z,lifecycle,False,,10,1
2025-09-16 11:00:00+00:00,US-MIDA-PJM,412,2025-10-01T17:31:34.450Z,2025-09-13T11:10:47.824Z,lifecycle,False,,11,1
2025-09-16 12:00:00+00:00,US-MIDA-PJM,406,2025-10-01T17:31:34.277Z,2025-09-13T12:10:47.107Z,lifecycle,False,,12,1
2025-09-16 13:00:00+00:00,US-MIDA-PJM,396,2025-10-01T17:31:34.299Z,2025-09-13T13:16:37.047Z,lifecycle,False,,13,1
2025-09-16 14:00:00+00:00,US-MIDA-PJM,397,2025-10-01T17:31:34.450Z,2025-09-13T14:11:36.813Z,lifecycle,False,,14,1
2025-09-16 15:00:00+00:00,US-MIDA-PJM,401,2025-10-01T17:31:34.299Z,2025-09-13T15:12:42.811Z,lifecycle,False,,15,1
2025-09-16 16:00:00+00:00,US-MIDA-PJM,407,2025-10-01T17:31:34.299Z,2025-09-13T16:10:58.886Z,lifecycle,False,,16,1
2025-09-16 17:00:00+00:00,US-MIDA-PJM,410,2025-10-01T17:31:34.277Z,2025-09-13T17:10:50.832Z,lifecycle,False,,17,1
2025-09-16 18:00:00+00:00,US-MIDA-PJM,418,2025-10-01T17:31:34.277Z,2025-09-13T18:10:35.446Z,lifecycle,False,,18,1
2025-09-16 19:00:00+00:00,US-MIDA-PJM,420,2025-10-01T17:31:34.450Z,2025-09-13T19:11:49.004Z,lifecycle,False,,19,1
2025-09-16 20:00:00+00:00,US-MIDA-PJM,424,2025-10-05T00:13:47.090Z,2025-09-13T20:12:10.830Z,lifecycle,False,,20,1
2025-09-16 21:00:00+00:00,US-MIDA-PJM,426,2025-10-01T17:31:48.069Z,2025-09-13T21:11:35.249Z,lifecycle,False,,21,1
2025-09-16 22:00:00+00:00,US-MIDA-PJM,431,2025-10-01T17:31:48.069Z,2025-09-13T22:10:53.041Z,lifecycle,False,,22,1
2025-09-16 23:00:00+00:00,US-MIDA-PJM,433,2025-10-01T17:31:48.069Z,2025-09-13T23:11:21.778Z,lifecycle,True,TIME_SLICER_AVERAGE,23,1
2025-09-17 00:00:00+00:00,US-MIDA-PJM,436,2025-10-01T17:31:34.299Z,2025-09-14T00:12:21.021Z,lifecycle,False,,0,2
2025-09-17 01:00:00+00:00,US-MIDA-PJM,434,2025-10-01T17:31:34.299Z,2025-09-14T01:12:40.817Z,lifecycle,False,,1,2
2025-09-17 02:00:00+00:00,US-MIDA-PJM,426,2025-10-01T17:31:48.069Z,2025-09-14T02:11:10.592Z,lifecycle,False,,2,2
2025-09-17 03:00:00+00:00,US-MIDA-PJM,418,2025-10-01T17:31:34.299Z,2025-09-14T03:12:15.314Z,lifecycle,False,,3,2
2025-09-17 04:00:00+00:00,US-MIDA-PJM,409,2025-10-01T17:31:48.069Z,2025-09-14T04:10:34.875Z,lifecycle,False,,4,2
2025-09-17 05:00:00+00:00,US-MIDA-PJM,402,2025-10-01T17:31:48.069Z,2025-09-14T05:10:50.266Z,lifecycle,False,,5,2
2025-09-17 06:00:00+00:00,US-MIDA-PJM,395,2025-10-01T17:31:34.450Z,2025-09-14T06:10:50.737Z,lifecycle,False,,6,2
