datetime,zone,carbon,updatedAt,createdAt,emissionFactorType,isEstimated,estimationMethod,hour,dayofweek
2025-09-12 18:00:00+00:00,US-MIDW-MISO,473,2025-10-12T02:37:24.279Z,2025-09-09T18:22:32.572Z,lifecycle,False,,18,4
2025-09-12 19:00:00+00:00,US-MIDW-MISO,480,2025-10-12T02:37:24.279Z,2025-09-09T19:24:02.491Z,lifecycle,False,,19,4
2025-09-12 20:00:00+00:00,US-MIDW-MISO,484,2025-10-12T02:37:17.287Z,2025-09-09T20:23:44.311Z,lifecycle,False,,20,4
2025-09-12 21:00:00+00:00,US-MIDW-MISO,496,2025-10-12T02:36:58.059Z,2025-09-09T21:23:36.326Z,lifecycle,False,,21,4
2025-09-12 22:00:00+00:00,US-MIDW-MISO,512,2025-10-12T02:37:24.279Z,2025-09-09T22:25:07.817Z,lifecycle,False,,22,4
2025-09-12 23:00:00+00:00,US-MIDW-MISO,547,2025-10-12T02:37:17.287Z,2025-09-09T23:22:08.129Z,lifecycle,False,,23,4
2025-09-13 00:00:00+00:00,US-MIDW-MISO,553,2025-10-12T02:37:24.279Z,2025-09-10T00:23:18.335Z,lifecycle,False,,0,5
2025-09-13 01:00:00+00:00,US-MIDW-MISO,540,2025-10-12T02:36:58.059Z,2025-09-10T01:24:34.835Z,lifecycle,False,,1,5
2025-09-13 02:00:00+00:00,US-MIDW-MISO,532,2025-10-01T17:31:04.868Z,2025-09-10T02:25:14.420Z,lifecycle,False,,2,5
2025-09-13 03:00:00+00:00,US-MIDW-MISO,519,2025-10-01T17:31:04.574Z,2025-09-10T03:24:20.298Z,lifecycle,False,,3,5
2025-09-13 04:00:00+00:00,US-MIDW-MISO,504,2025-10-01T17:31:04.574Z,2025-09-10T04:23:13.856Z,lifecycle,False,,4,5
2025-09-13 05:00:00+00:00,US-MIDW-MISO,486,2025-10-01T17:31:04.574Z,2025-09-10T05:23:24.129Z,lifecycle,False,,5,5
2025-09-13 06:00:00+00:00,US-MIDW-MISO,462,2025-10-01T17:31:04.676Z,2025-09-10T06:23:47.396Z,lifecycle,False,,6,5
2025-09-13 07:00:00+00:00,US-MIDW-MISO,452,2025-10-01T17:31:04.868Z,2025-09-10T07:24:26.960Z,lifecycle,False,,7,5
