zone,region_name,hour_ahead,forecast_time_utc,carbon_intensity_gco2_kwh
BE,Belgium,1,2025-11-25 18:18,288.19
BE,Belgium,2,2025-11-25 19:18,283.56
BE,Belgium,3,2025-11-25 20:18,297.25
BE,Belgium,4,2025-11-25 21:18,281.64
BE,Belgium,5,2025-11-25 22:18,275.46
BE,Belgium,6,2025-11-25 23:18,262.12
BE,Belgium,7,2025-11-26 00:18,255.37
BE,Belgium,8,2025-11-26 01:18,277.65
BE,Belgium,9,2025-11-26 02:18,226.06
BE,Belgium,10,2025-11-26 03:18,253.82
BE,Belgium,11,2025-11-26 04:18,249.28
BE,Belgium,12,2025-11-26 05:18,248.46
BE,Belgium,13,2025-11-26 06:18,231.43
BE,Belgium,14,2025-11-26 07:18,214.54
BE,Belgium,15,2025-11-26 08:18,199.94
BE,Belgium,16,2025-11-26 09:18,209.73
BE,Belgium,17,2025-11-26 10:18,204.62
BE,Belgium,18,2025-11-26 11:18,200.11
BE,Belgium,19,2025-11-26 12:18,188.94
BE,Belgium,20,2025-11-26 13:18,222.56
BE,Belgium,21,2025-11-26 14:18,239.38
BE,Belgium,22,2025-11-26 15:18,227.17
BE,Belgium,23,2025-11-26 16:18,276.89
BE,Belgium,24,2025-11-26 17:18,253.88
DE,Germany,1,2025-11-25 18:18,678.37
DE,Germany,2,2025-11-25 19:18,683.84
DE,Germany,3,2025-11-25 20:18,685.23
DE,Germany,4,2025-11-25 21:18,676.04
DE,Germany,5,2025-11-25 22:18,678.5
DE,Germany,6,2025-11-25 23:18,676.97
DE,Germany,7,2025-11-26 00:18,682.46
DE,Germany,8,2025-11-26 01:18,663.0
DE,Germany,9,2025-11-26 02:18,674.02
DE,Germany,10,2025-11-26 03:18,635.85
DE,Germany,11,2025-11-26 04:18,614.41
DE,Germany,12,2025-11-26 05:18,583.41
DE,Germany,13,2025-11-26 06:18,610.61
DE,Germany,14,2025-11-26 07:18,569.38
DE,Germany,15,2025-11-26 08:18,561.54
DE,Germany,16,2025-11-26 09:18,557.8
DE,Germany,17,2025-11-26 10:18,549.16
DE,Germany,18,2025-11-26 11:18,525.76
DE,Germany,19,2025-11-26 12:18,538.88
DE,Germany,20,2025-11-26 13:18,556.16
DE,Germany,21,2025-11-26 14:18,547.01
DE,Germany,22,2025-11-26 15:18,589.14
DE,Germany,23,2025-11-26 16:18,600.09
DE,Germany,24,2025-11-26 17:18,588.02
IE,Ireland,1,2025-11-25 18:18,767.77
IE,Ireland,2,2025-11-25 19:18,806.25
IE,Ireland,3,2025-11-25 20:18,760.48
IE,Ireland,4,2025-11-25 21:18,733.38
IE,Ireland,5,2025-11-25 22:18,718.26
IE,Ireland,6,2025-11-25 23:18,716.71
IE,Ireland,7,2025-11-26 00:18,707.86
IE,Ireland,8,2025-11-26 01:18,711.22
IE,Ireland,9,2025-11-26 02:18,698.41
IE,Ireland,10,2025-11-26 03:18,725.54
IE,Ireland,11,2025-11-26 04:18,693.04
IE,Ireland,12,2025-11-26 05:18,673.21
IE,Ireland,13,2025-11-26 06:18,679.37
IE,Ireland,14,2025-11-26 07:18,659.05
IE,Ireland,15,2025-11-26 08:18,651.16
IE,Ireland,16,2025-11-26 09:18,681.14
IE,Ireland,17,2025-11-26 10:18,688.99
IE,Ireland,18,2025-11-26 11:18,691.48
IE,Ireland,19,2025-11-26 12:18,654.24
IE,Ireland,20,2025-11-26 13:18,678.46
IE,Ireland,21,2025-11-26 14:18,646.99
IE,Ireland,22,2025-11-26 15:18,698.67
IE,Ireland,23,2025-11-26 16:18,695.2
IE,Ireland,24,2025-11-26 17:18,686.89
JP-TK,Japan Tokyo,1,2025-11-25 18:18,706.24
JP-TK,Japan Tokyo,2,2025-11-25 19:18,691.92
JP-TK,Japan Tokyo,3,2025-11-25 20:18,672.46
JP-TK,Japan Tokyo,4,2025-11-25 21:18,643.79
JP-TK,Japan Tokyo,5,2025-11-25 22:18,637.68
JP-TK,Japan Tokyo,6,2025-11-25 23:18,628.87
JP-TK,Japan Tokyo,7,2025-11-26 00:18,578.14
JP-TK,Japan Tokyo,8,2025-11-26 01:18,561.37
JP-TK,Japan Tokyo,9,2025-11-26 02:18,536.76
JP-TK,Japan Tokyo,10,2025-11-26 03:18,545.58
JP-TK,Japan Tokyo,11,2025-11-26 04:18,552.44
JP-TK,Japan Tokyo,12,2025-11-26 05:18,570.55
JP-TK,Japan Tokyo,13,2025-11-26 06:18,614.51
JP-TK,Japan Tokyo,14,2025-11-26 07:18,650.38
JP-TK,Japan Tokyo,15,2025-11-26 08:18,660.26
JP-TK,Japan Tokyo,16,2025-11-26 09:18,684.22
JP-TK,Japan Tokyo,17,2025-11-26 10:18,704.18
JP-TK,Japan Tokyo,18,2025-11-26 11:18,698.34
JP-TK,Japan Tokyo,19,2025-11-26 12:18,691.82
JP-TK,Japan Tokyo,20,2025-11-26 13:18,695.02
JP-TK,Japan Tokyo,21,2025-11-26 14:18,690.06
JP-TK,Japan Tokyo,22,2025-11-26 15:18,702.3
